ID_CAT	Cat_Name	ID_Sub	Sub_Name	ID_Prod	Prod_Desc
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	15092	CABO DE ACO GALV S/ CAPA 1/8 POL 3,2MM
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1174	CABO DE ALUMINIO NU COM ALMA DE ACO, BITOLA 1/0 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1176	CABO DE ALUMINIO NU COM ALMA DE ACO, BITOLA 2/0 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1175	CABO DE ALUMINIO NU COM ALMA DE ACO, BITOLA 2 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1177	CABO DE ALUMINIO NU COM ALMA DE ACO, BITOLA 4 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1178	CABO DE ALUMINIO NU SEM ALMA DE ACO, BITOLA 1/0 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1180	CABO DE ALUMINIO NU SEM ALMA DE ACO, BITOLA 2/0 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1179	CABO DE ALUMINIO NU SEM ALMA DE ACO, BITOLA 2 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	1181	CABO DE ALUMINIO NU SEM ALMA DE ACO, BITOLA 4 AWG
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	19959	Cabo nu de aço cobreado 2 AWG (ver nota abaixo)
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	15849	CABOS DE ACOS PARA MAQUINA
75	Ferragens	102	Cintas, Cabos, Cordas, Correntes e Acessórios	15850	DISCOS DE CERDAS
75	Ferragens	104	Escadas Móveis	15956	ESCADA ALUMINIO ARTICULADA
75	Ferragens	104	Escadas Móveis	6408	Escada alumínio dobrável 4 degraus
75	Ferragens	104	Escadas Móveis	21136	Escada articulada 4x3
75	Ferragens	104	Escadas Móveis	21137	Escada articulada 4x4
75	Ferragens	104	Escadas Móveis	18823	ESCADA ARTICULADA 4x4, 16 DEGRAUS DE ALUMÍNIO
75	Ferragens	104	Escadas Móveis	6732	Escada de Alumínio 3 degraus
75	Ferragens	104	Escadas Móveis	16432	Escada de Alumínio 5 degraus
75	Ferragens	104	Escadas Móveis	18824	ESCADA DE ALUMÍNIO DOMÉSTICA, 5 DEGRAUS
75	Ferragens	104	Escadas Móveis	2465	ESCADA DUPLA DE ABRIR EM ALUMINIO, MODELO PINTOR, 8 DEGRAUS
75	Ferragens	104	Escadas Móveis	12457	ESCADA EM ALUMINIO EXTENSIVA E DOBRAVEL 4 EM 1 2X12 DEGRAUS
75	Ferragens	104	Escadas Móveis	2466	ESCADA EXTENSIVEL EM ALUMINIO COM 6,00 M ESTENDIDA
75	Ferragens	104	Escadas Móveis	22229	Escada extensível vazada
75	Ferragens	104	Escadas Móveis	22140	Escada extensível vazada 4,20m
75	Ferragens	104	Escadas Móveis	21531	Escada metálica em alumínio, 7 degraus, anti-derrapante, carga nominal de 120kg
75	Ferragens	105	Estrados	22526	Estrado isolante elétrico classe 2, isolação elétrica mínima de 20KV, dimensão mínima 1000x1000mm. Com laudo de isolação.
75	Ferragens	105	Estrados	22527	Estrado isolante elétrico classe 4, isolação elétrica mínima de 40KV, dimensão mínima 1000x1000mm. Com laudo de isolação.
75	Ferragens	106	Fechaduras e Travas	8551	Conjunto de fechadura
75	Ferragens	106	Fechaduras e Travas	5927	Fechadura Eletroímã
75	Ferragens	106	Fechaduras e Travas	2558	FECHADURA ESPELHO PARA PORTA DE BANHEIRO, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 40 MM, INCLUINDO CHAVE TIPO TRANQUETA
75	Ferragens	106	Fechaduras e Travas	2559	FECHADURA ESPELHO PARA PORTA DE BANHEIRO, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 55 MM, INCLUINDO CHAVE TIPO TRANQUETA  (CONJUNTO DE FECHADURAS)
75	Ferragens	106	Fechaduras e Travas	2560	FECHADURA ESPELHO PARA PORTA EXTERNA, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 40 MM, INCLUINDO CHAVE TIPO CILINDRO
75	Ferragens	106	Fechaduras e Travas	2561	FECHADURA ESPELHO PARA PORTA EXTERNA, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 55 MM, INCLUINDO CHAVE TIPO CILINDRO
75	Ferragens	106	Fechaduras e Travas	2562	FECHADURA ESPELHO PARA PORTA INTERNA, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 40 MM, INCLUINDO CHAVE TIPO INTERNA
75	Ferragens	106	Fechaduras e Travas	2563	FECHADURA ESPELHO PARA PORTA INTERNA, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 55 MM, INCLUINDO CHAVE TIPO INTERNA
75	Ferragens	106	Fechaduras e Travas	20441	FECHADURA INTERNA CROMADA
75	Ferragens	106	Fechaduras e Travas	2565	FECHADURA ROSETA REDONDA PARA PORTA DE BANHEIRO, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 40 MM, INCLUINDO CHAVE TIPO TRANQUETA
75	Ferragens	106	Fechaduras e Travas	2566	FECHADURA ROSETA REDONDA PARA PORTA DE BANHEIRO, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 55 MM, INCLUINDO CHAVE TIPO TRANQUETA
75	Ferragens	106	Fechaduras e Travas	2567	FECHADURA ROSETA REDONDA PARA PORTA EXTERNA, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 40 MM, INCLUINDO CHAVE TIPO CILINDRO
75	Ferragens	106	Fechaduras e Travas	2568	FECHADURA ROSETA REDONDA PARA PORTA EXTERNA, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 55 MM, INCLUINDO CHAVE TIPO CILINDRO
75	Ferragens	106	Fechaduras e Travas	2569	FECHADURA ROSETA REDONDA PARA PORTA INTERNA, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 40 MM, INCLUINDO CHAVE TIPO INTERNA (CONJUNTO DE FECHADURAS)
75	Ferragens	106	Fechaduras e Travas	2570	FECHADURA ROSETA REDONDA PARA PORTA INTERNA, EM ACO INOX (MAQUINA, TESTA E CONTRA-TESTA) E EM ZAMAC (MACANETA, LINGUETA E TRINCOS) COM ACABAMENTO CROMADO, MAQUINA DE 55 MM, INCLUINDO CHAVE TIPO INTERNA
75	Ferragens	106	Fechaduras e Travas	14744	Fechadura Stam Estreita Espelho Inox
75	Ferragens	106	Fechaduras e Travas	2572	FECHO / TRINCO TIPO AVIAO, EM ZAMAC CROMADO, *60* MM, PARA JANELAS - INCLUI PARAFUSOS
75	Ferragens	107	Ferragens para Fixar e Montar	12004	Abraçadeira com chaveta
75	Ferragens	107	Ferragens para Fixar e Montar	21088	Abraçadeira de nylon
75	Ferragens	107	Ferragens para Fixar e Montar	15123	ABRACADEIRA DE NYLON 20CM
75	Ferragens	107	Ferragens para Fixar e Montar	17032	Abraçadeira de Nylon 280x4,8 Preta
75	Ferragens	107	Ferragens para Fixar e Montar	18016	Abraçadeira de nylon 3,6 × 150 mm
75	Ferragens	107	Ferragens para Fixar e Montar	9808	ABRAÇADEIRA DE NYLON 4.5X200MM PRETO PCT C/100
75	Ferragens	107	Ferragens para Fixar e Montar	9809	ABRAÇADEIRA DE NYLON 4.7X380MM PRETO PCT C/100
75	Ferragens	107	Ferragens para Fixar e Montar	15122	ABRACADEIRA DE NYLON 40CM
75	Ferragens	107	Ferragens para Fixar e Montar	9806	ABRACADEIRA DE NYLON 7.6X400MM PRETO PCT C/50
75	Ferragens	107	Ferragens para Fixar e Montar	9807	ABRACADEIRA DE NYLON COM PROTEÇÃO UV 8.8X535MM PRETO PCT C/50
75	Ferragens	107	Ferragens para Fixar e Montar	447	ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM
75	Ferragens	107	Ferragens para Fixar e Montar	445	ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM
75	Ferragens	107	Ferragens para Fixar e Montar	449	ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM
75	Ferragens	107	Ferragens para Fixar e Montar	15151	ABRAÇADEIRA DE NYLOS 20CM
75	Ferragens	107	Ferragens para Fixar e Montar	16633	ABRAÇADEIRA DE REFORÇO PEAD PE100 ELETROFUSÃO 110MM
75	Ferragens	107	Ferragens para Fixar e Montar	16632	ABRAÇADEIRA DE REFORÇO PEAD PE100 ELETROFUSÃO 63MM
75	Ferragens	107	Ferragens para Fixar e Montar	18503	Abracadeira em nylon
75	Ferragens	107	Ferragens para Fixar e Montar	16837	ABRAÇADEIRA GALVANIZADA FERRO PARA POSTE CONCRETO 220MM
75	Ferragens	107	Ferragens para Fixar e Montar	16838	ABRAÇADEIRA GALVANIZADA FERRO PARA POSTE CONCRETO 240MM
75	Ferragens	107	Ferragens para Fixar e Montar	16839	ABRAÇADEIRA GALVANIZADA FERRO PARA POSTE CONCRETO 250MM
75	Ferragens	107	Ferragens para Fixar e Montar	16840	ABRAÇADEIRA GALVANIZADA FERRO PARA POSTE CONCRETO 260MM
75	Ferragens	107	Ferragens para Fixar e Montar	16841	ABRAÇADEIRA GALVANIZADA FERRO PARA POSTE CONCRETO 280MM
75	Ferragens	107	Ferragens para Fixar e Montar	438	Abraçadeira Nylon 150 x 25mm
75	Ferragens	107	Ferragens para Fixar e Montar	17423	Abraçadeira nylon 2,5 x 15 mm
75	Ferragens	107	Ferragens para Fixar e Montar	17424	Abraçadeira nylon 3,6 x 25 mm
75	Ferragens	107	Ferragens para Fixar e Montar	17425	Abraçadeira nylon 3,6 x 30 mm
75	Ferragens	107	Ferragens para Fixar e Montar	21887	Abraçadeira Nylon c/ 1.000
75	Ferragens	107	Ferragens para Fixar e Montar	15312	Abraçadeira Tipo Colar, Cor Cinza em PVC, Ø 1″ (DN 32)
75	Ferragens	107	Ferragens para Fixar e Montar	11341	Abraçadeira Tipo U 2 Pol
75	Ferragens	107	Ferragens para Fixar e Montar	17705	Abraçadeiras 7,9 x 521 mm, Aço Inox 316 e Revestimento em Poliéster
75	Ferragens	107	Ferragens para Fixar e Montar	17706	Abraçadeiras 7,9 x 521 mm, Aço Inox 316 e Revestimento em Poliéster PN- AC-01216A/B (MDA-D) PN-AC-01213A/B (MDA-N)
75	Ferragens	107	Ferragens para Fixar e Montar	669	ANEL DE DISTRIBUICAO EM ACO GALVANIZADO PARA FIO FE-160
75	Ferragens	107	Ferragens para Fixar e Montar	16138	ANEL ELASTOMÉRICO P/ ISOLADOR PINO POLIMÉRICO 15KV
75	Ferragens	107	Ferragens para Fixar e Montar	15250	ARGOLA PARA IÇAMENTO  M16
75	Ferragens	107	Ferragens para Fixar e Montar	17246	Armação galvanizada AR 1 com 1 isolador 5 mm
75	Ferragens	107	Ferragens para Fixar e Montar	18948	Armação secundária AR 11 com haste
75	Ferragens	107	Ferragens para Fixar e Montar	8915	Arruela de pressão
75	Ferragens	107	Ferragens para Fixar e Montar	15251	ARRUELA DE PRESSÃO ZINCADA - M6
75	Ferragens	107	Ferragens para Fixar e Montar	811	ARRUELA  EM ACO GALVANIZADO, DIAMETRO EXTERNO = 35MM, ESPESSURA = 3MM, DIAMETRO DO FURO= 18MM
75	Ferragens	107	Ferragens para Fixar e Montar	17247	Arruela Galvanizada a fogo de 1/2 Polegada quadrada
75	Ferragens	107	Ferragens para Fixar e Montar	18501	Arruela lisa
75	Ferragens	107	Ferragens para Fixar e Montar	8402	Arruela Lisa 1/2 Pol.
75	Ferragens	107	Ferragens para Fixar e Montar	8541	arruela Lisa 1/4
75	Ferragens	107	Ferragens para Fixar e Montar	15146	ARRUELA LISA 1/4 GALVANIZADA
75	Ferragens	107	Ferragens para Fixar e Montar	8914	Arruela lisa 5/8
75	Ferragens	107	Ferragens para Fixar e Montar	10414	Arruela lisa, AG, M10
75	Ferragens	107	Ferragens para Fixar e Montar	10410	Arruela lisa, AG, M8
75	Ferragens	107	Ferragens para Fixar e Montar	324	Arruela lisa Ø14 aço carbono galvanizado
75	Ferragens	107	Ferragens para Fixar e Montar	325	Arruela lisa Ø38 aço carbono galvanizado
75	Ferragens	107	Ferragens para Fixar e Montar	16537	ARRUELA QUADRADA, 32X32MM, FURO 14 MM, CHAPA 3 MM, FABRICADA EM AÇO GALVANIZADO A FOGO. COM GARANTIA CONTRA DEFEITOS DE FABRICAÇÃO.
75	Ferragens	107	Ferragens para Fixar e Montar	9820	ARRUELA QUADRADA 38MM X 3MM X 18MM
75	Ferragens	107	Ferragens para Fixar e Montar	16140	ARRUELA QUADRADA 38X18X3MM
75	Ferragens	107	Ferragens para Fixar e Montar	23639	ARRUELA QUADRADA 50X3MM FURO 18MM
75	Ferragens	107	Ferragens para Fixar e Montar	20012	Arruela quadrada a fogo 45x45 3mm, 18.
75	Ferragens	107	Ferragens para Fixar e Montar	19951	Arruela quadrada aço 38x38 mm furo 14 mm
75	Ferragens	107	Ferragens para Fixar e Montar	19952	Arruela quadrada aço 38x38 mm furo 18 mm
75	Ferragens	107	Ferragens para Fixar e Montar	20101	Arruela quadrada em aço carbono
75	Ferragens	107	Ferragens para Fixar e Montar	16121	ARRUELA QUADRADA EM ACO GALVANIZADO COM FURO M16
75	Ferragens	107	Ferragens para Fixar e Montar	823	ARRUELA QUADRADA EM ACO GALVANIZADO, DIMENSAO = 38 MM, ESPESSURA = 3MM, DIAMETRO DO FURO= 18 MM
75	Ferragens	107	Ferragens para Fixar e Montar	16906	ARRUELA QUADRADA PARA PARAFUSO 1/2
75	Ferragens	107	Ferragens para Fixar e Montar	8324	BARA DE ROSCA 5/8
75	Ferragens	107	Ferragens para Fixar e Montar	21997	Barra roscada
75	Ferragens	107	Ferragens para Fixar e Montar	18897	Barra roscada 1/4 – 1 metro
75	Ferragens	107	Ferragens para Fixar e Montar	19654	Barra roscada 1/4 zincada com 1 metro com 2 porcas e 2 arruelas
75	Ferragens	107	Ferragens para Fixar e Montar	11977	Barras roscada 3/8  3mts
75	Ferragens	107	Ferragens para Fixar e Montar	20013	Braço curvo c/1,5m de comprimento, galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	16748	BRACO CURVO COM SAPATA GALVANIZADO A FOGO 2M X 48M
75	Ferragens	107	Ferragens para Fixar e Montar	15707	Braço curvo galvanizado 2,0mx48mm.
75	Ferragens	107	Ferragens para Fixar e Montar	20015	Braço curvo, galvanizado a fogo, com 03 metros de comprimento
75	Ferragens	107	Ferragens para Fixar e Montar	16538	BRAÇO CURVO (TIPO CISNE) COM SAPATA PARA LUMINÁRIA EM AÇO 1010 A 1020, GALVANIZADO A FOGO, 2 M DE COMPRIMENTO, 48,3 MM DE DIÂMETRO, E 3 MM DE PAREDE. SAPATA REFORÇADA TIPO U COM MÍNIMO DE 25 CM (COMPRIMENTO) E PAREDE DE 5 MM. DEVE PERMITIR A FIXAÇÃO ATRAVÉS DE PARAFUSOS, CHUMBADORES E CINTAS/ABRAÇADEIRAS. RESISTENTE A CORROSÃO E GARANTIA CONTRA DEFEITOS DE FABRICAÇÃO. ATENDENDO AOS REQUISITOS DE ENSAIO DAS NORMAS VIGENTES NBR/ABNT DA CATEGORIA.
75	Ferragens	107	Ferragens para Fixar e Montar	1047	BUCHA DE NYLON, DIAMETRO DO FURO 8 MM, COMPRIMENTO 40 MM, COM PARAFUSO DE ROSCA SOBERBA, CABECA CHATA, FENDA SIMPLES, 4,8 X 50 MM
75	Ferragens	107	Ferragens para Fixar e Montar	10407	Bucha de nylon S12
75	Ferragens	107	Ferragens para Fixar e Montar	12125	BUCHA DE NYLON SEM ABA COM PARAFUSO DE 6,10 X 65MM EM ACO ZINCADO COM ROSCA
75	Ferragens	107	Ferragens para Fixar e Montar	1038	BUCHA DE NYLON SEM ABA S10
75	Ferragens	107	Ferragens para Fixar e Montar	1039	BUCHA DE NYLON SEM ABA S10, COM PARAFUSO DE 6,10 X 65 MM EM ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA PHILLIPS
75	Ferragens	107	Ferragens para Fixar e Montar	1041	BUCHA DE NYLON SEM ABA S4
75	Ferragens	107	Ferragens para Fixar e Montar	1042	BUCHA DE NYLON SEM ABA S5
75	Ferragens	107	Ferragens para Fixar e Montar	1043	BUCHA DE NYLON SEM ABA S6
75	Ferragens	107	Ferragens para Fixar e Montar	1044	BUCHA DE NYLON SEM ABA S6, COM PARAFUSO DE 4,20 X 40 MM EM ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA PHILLIPS
75	Ferragens	107	Ferragens para Fixar e Montar	1045	BUCHA DE NYLON SEM ABA S8
75	Ferragens	107	Ferragens para Fixar e Montar	1046	BUCHA DE NYLON SEM ABA S8, COM PARAFUSO DE 4,80 X 50 MM EM ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA PHILLIPS
75	Ferragens	107	Ferragens para Fixar e Montar	11624	BUCHA DE NYLON SEM ABA S8, COM PARAFUSO DE 4,80 X 50MM EM ACO ZINCADO COM ROSCA SOBERBA, CABECA CHATA E FENDA PHILIPS
75	Ferragens	107	Ferragens para Fixar e Montar	8640	BUCHA NYLON 6M
75	Ferragens	107	Ferragens para Fixar e Montar	8637	BUCHA NYLON DIAN-8M
75	Ferragens	107	Ferragens para Fixar e Montar	18497	Bucha nylon fu 10 mm
75	Ferragens	107	Ferragens para Fixar e Montar	18498	Bucha nylon fu 6 mm
75	Ferragens	107	Ferragens para Fixar e Montar	214	bucha nylon Ø42 x 32mm
75	Ferragens	107	Ferragens para Fixar e Montar	10112	caixa de parafusos para Draywall com 100 unidades
75	Ferragens	107	Ferragens para Fixar e Montar	13091	CAPA, TERMINAL, MACHO, MATERIAL: NYLON, COR: NATURAL, TEMPERATURA DE TRABALHO: -20ºC A 8 0ºC (ATÉ 150ºC EM PICOS), UTILIZADO EM TERMINAIS NÃO ISOLADOS, TIPO MACHO 6,3MM
75	Ferragens	107	Ferragens para Fixar e Montar	327	Chumbador Expansão rosca Ø38 aço carbono galvanizado tipo CB
75	Ferragens	107	Ferragens para Fixar e Montar	19961	Cinta circular de aço galvanizado
75	Ferragens	107	Ferragens para Fixar e Montar	10206	CINTA CIRCULAR EM AÇO GALVANIZADO DE 150 MM DE DIÂMETRO PARA FIXAÇÃO DE CAIXA UN 26,20 MEDIÇÃO, INCLUI PARAFUSOS E PORCAS
75	Ferragens	107	Ferragens para Fixar e Montar	15711	Cinta circular galvanizada a fogo – 220mm.
75	Ferragens	107	Ferragens para Fixar e Montar	15710	Cinta circular galvanizada a fogo – 270mm.
75	Ferragens	107	Ferragens para Fixar e Montar	22817	Cinta circular para poste Diâmetro de 180mm, galvanizado a fogo c/ parafuso francês
75	Ferragens	107	Ferragens para Fixar e Montar	22818	Cinta circular para poste Diâmetro de 200mm, galvanizado a fogo c/ parafuso francês
75	Ferragens	107	Ferragens para Fixar e Montar	22819	Cinta circular para poste Diâmetro de 220mm, galvanizado a fogo c/ parafuso francês
75	Ferragens	107	Ferragens para Fixar e Montar	22820	Cinta circular para poste Diâmetro de 250mm, galvanizado a fogo c/ parafuso francês
75	Ferragens	107	Ferragens para Fixar e Montar	22821	Cinta circular para poste Diâmetro de 270mm, galvanizado a fogo c/ parafuso francês
75	Ferragens	107	Ferragens para Fixar e Montar	19695	Cinta para poste circular Ø150mm galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	19688	Cinta para poste circular Ø170mm galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	19689	Cinta para poste circular Ø190mm galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	19696	Cinta para poste circular Ø200mm galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	19690	Cinta para poste circular Ø210mm galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	19697	Cinta para poste circular Ø220mm galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	19691	Cinta para poste circular Ø230mm galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	19698	Cinta para poste circular Ø240mm galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	19692	Cinta para poste circular Ø250mm galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	19693	Cinta para poste circular Ø260mm galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	19694	Cinta para poste circular Ø280mm galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	19699	Cinta para poste circular Ø300mm galvanizada a fogo
75	Ferragens	107	Ferragens para Fixar e Montar	15313	Conector de Medição em Latão com 4 Parafusos, para Cabos de cobre / aço cobreado  35-70mm²
75	Ferragens	107	Ferragens para Fixar e Montar	9875	CONECTOR DE MEDIÇÃO PARA CONEXÃO ENTRE O CABO 50mm²  PROVENIENTE DA DESCIDA COM O CABO DA MALHA DE ATERRAMENTO
75	Ferragens	107	Ferragens para Fixar e Montar	18745	CONECTOR METALICO TIPO PARAFUSO FENDIDO (SPLIT BOLT), PARA CABOS ATE 95 MM
75	Ferragens	107	Ferragens para Fixar e Montar	13507	CONECTOR PERFURANTE ISOLADO - PRINC. 25-150MM2 / DERIV. 25-150MM2
75	Ferragens	107	Ferragens para Fixar e Montar	6919	Cubilulo de derivação para TR - Cubiculo de_MT , compacto, modular com chave seccionadora de três posições, isolad a em SF6, com acionamento manual por alavanca, Classe 15 kV, corrente até 630 A, 16 kA, com base para fusivel HH e fusivel de 70 A.
75	Ferragens	107	Ferragens para Fixar e Montar	21642	CURVA HORIZONTAL 90 GRAUS
75	Ferragens	107	Ferragens para Fixar e Montar	8631	DEHNISO P/ CONDUTORES DIAM.7-10MM E 945MM COMPRIM
75	Ferragens	107	Ferragens para Fixar e Montar	11798	Fecho tipo unha deslizante de embutir 12cm, com trava. Acabamento cromado.  Acompanha parafusos para instalação.
75	Ferragens	107	Ferragens para Fixar e Montar	9997	FERRAGEM PARA FIXAÇÃO DE VIGA VB P1 EM POSTE DE CONCRETO, SEÇÃO DUPLO T, EM AÇO LAMINADO, ZINCADO A QUENTE, CONF. DES. 22629-ORT-162, E ET. 02118-CEMIG0271A
75	Ferragens	107	Ferragens para Fixar e Montar	10202	FITA ACO INOX PARA CINTAR POSTE
75	Ferragens	107	Ferragens para Fixar e Montar	2635	FITA ACO INOX PARA CINTAR POSTE, L = 19 MM, E = 0,5 MM (ROLO DE 30M)
75	Ferragens	107	Ferragens para Fixar e Montar	8634	FITA PERFURADA LATÃO NIQUELADO FURO DIAM.7MM x DIMENSAO 20MM X 1,2MM X 3M
75	Ferragens	107	Ferragens para Fixar e Montar	16130	GRAMPO CONECTOR GTDU PARA CABO 70MM
75	Ferragens	107	Ferragens para Fixar e Montar	13523	GRAMPO DE ANCORAGEM UNIVERSAL CABO XLPE 15/35KV 25-240MM GAU NTC 813055
75	Ferragens	107	Ferragens para Fixar e Montar	15595	Grampo de fixação em aço inoxidável para luminária Maccomevap
75	Ferragens	107	Ferragens para Fixar e Montar	17315	Grampo de fixação para grade de piso
75	Ferragens	107	Ferragens para Fixar e Montar	15594	Grampo de fixação para luminária Maccomevap
75	Ferragens	107	Ferragens para Fixar e Montar	19714	Grampo isolado (caixa com no mínimo 25 unidades)
75	Ferragens	107	Ferragens para Fixar e Montar	2759	GRAMPO PARALELO METALICO PARA CABO DE 6 A 50 MM2, COM 2 PARAFUSOS
75	Ferragens	107	Ferragens para Fixar e Montar	21593	GRAMPO U
75	Ferragens	107	Ferragens para Fixar e Montar	20306	GRAMPO U ACO CARBONO EMBORRACHADO 1/2POL
75	Ferragens	107	Ferragens para Fixar e Montar	9913	grampo U de 8 pegadas 5/8
75	Ferragens	107	Ferragens para Fixar e Montar	14245	GRAMPO U PESADO PARA TUBO DE 2”  REVESTIDO COM BORRACHA, A193 B7, C/ 4 PORCAS SEXT. A194 GR. 2H - Zn-Ní
75	Ferragens	107	Ferragens para Fixar e Montar	11935	Grampo Vertical KF-017 DT
75	Ferragens	107	Ferragens para Fixar e Montar	16184	ISOLADOR ANCORAGEM POLIMÉRICO 15KV
75	Ferragens	107	Ferragens para Fixar e Montar	13524	ISOLADOR     DE     ANCORAGEM POLÍMERICO - 15 KV
75	Ferragens	107	Ferragens para Fixar e Montar	9546	Isolador de ancoragem polimérico 15kV
75	Ferragens	107	Ferragens para Fixar e Montar	12312	ISOLADOR EPOXI 30X30MM 1/4 POL
75	Ferragens	107	Ferragens para Fixar e Montar	5607	Isolador Pedestal Epoxi 15 kV
75	Ferragens	107	Ferragens para Fixar e Montar	9547	Isolador pilar 15 kV
75	Ferragens	107	Ferragens para Fixar e Montar	16186	ISOLADOR PINO POLIMÉRICO 15KV
75	Ferragens	107	Ferragens para Fixar e Montar	10268	Manilha
75	Ferragens	107	Ferragens para Fixar e Montar	10575	Manilha de 1000mm de 6mts
75	Ferragens	107	Ferragens para Fixar e Montar	19975	Manilha sapatilha
75	Ferragens	107	Ferragens para Fixar e Montar	16188	MANILHA SAPATILHA 50KN
75	Ferragens	107	Ferragens para Fixar e Montar	16125	MANILHA SAPATILHA EM ACO GALVANIZADO NBR15688
75	Ferragens	107	Ferragens para Fixar e Montar	13525	MANILHA    SAPATILHA    FERRO FUNDIDO P DISTRIBUIÇÃO
75	Ferragens	107	Ferragens para Fixar e Montar	16201	PÁRA-RAIOS REDE SECUNDÁRIA ISOLADA 10KA
75	Ferragens	107	Ferragens para Fixar e Montar	8642	PARAF AUTOATARRACHANTE EM AÇO INOX DIAM 4,2 X32m
75	Ferragens	107	Ferragens para Fixar e Montar	16737	Parafuso 1/2 x 1.1/2 com arruela e porca.
75	Ferragens	107	Ferragens para Fixar e Montar	3887	PARAFUSO, AUTO ATARRACHANTE, CABECA CHATA, FENDA SIMPLES, 1/4 (6,35 MM) X 25 MM
75	Ferragens	107	Ferragens para Fixar e Montar	9871	PARAFUSO AUTO BROCANTE SEXTAVADO COM ARRUELA DE VEDAÇÃO 14mmx7/8
75	Ferragens	107	Ferragens para Fixar e Montar	213	Parafuso Autoatarrachante em Aço Inox Ø42 x 32mm
75	Ferragens	107	Ferragens para Fixar e Montar	333	Parafuso cabeça lentilha auto travante aço carbono galvanizado rosca Ø38 comprimento 34
